salmonella	salmonellae	salmonellas
salvoes	salvos
sanatoria	sanatoriums
sancta	sanctums
sandaled	sandalled
sandaling	sandalling
sandgrouse	sandgrouses
sanitaria	sanitariums
sank	sunk	sunken
sarcomas	sarcomata
sarcophagi	sarcophaguses
sash	sashes
sauted	sauteed
sawbones	sawboneses
sawed	sawn
scampi	scampies
scandaled	scandalled
scandaling	scandalling
scapulae	scapulas
scarfs	scarves
schemas	schemata
scherzi	scherzos
schmoes	schmos
schrod	schrods
scrod	scrods
scrota	scrotums
semidwarfs	semidwarves
semihoboes	semihobos
sentineled	sentinelled
sentineling	sentinelling
septa	septums
sera	serons	serums
seraphim	seraphs
servicepeople	servicepersons
sewed	sewn
shackoes	shackos
shakoes	shakos
shat	shit
shaved	shaven
sheared	shorn
shier	shyer
shiest	shyest
shod	shodden	shoed
shoes	shoon
shoveled	shovelled
shoveling	shovelling
showed	shown
shrank	shrunk	shrunken
shrived	shriven	shrove
shriveled	shrivelled
shriveling	shrivelling
signaled	signalled
signaling	signalling
signoras	signore
signori	signors
signorinas	signorine
simulcast	simulcasted
sixpence	sixpences
ski	skis
skied	skyed
skydived	skydove
slier	slyer
sliest	slyest
slinked	slunk
smelled	smelt
smit	smitten	smote
smoothes	smooths
snapshot	snapshotted
sneaked	snuck
sniveled	snivelled
sniveling	snivelling
snorkeled	snorkelled
snorkeling	snorkelling
socks	sox
solaria	solariums
soli	solos
sonneted	sonnetted
sonneting	sonnetting
sowed	sown
spacecraft	spacecrafts
spadices	spadixes
spadoes	spados
spat	spats	spit
spec'd	specced	specked
spec'ing	speccing	specking
spectra	spectrums
sped	speeded
spelled	spelt
sphinges	sphinxes
spilled	spilt
spiraled	spiralled
spiraling	spiralling
spoiled	spoilt
spokespeople	spokespersons
spoonfuls	spoonsful
spotlighted	spotlit
sprang	sprung
sprier	spryer
spriest	spryest
springbuck	springbucks
springeing	springing
squash	squashes
squirreled	squirrelled
squirreling	squirrelling
staccati	staccatos
stadia	stadiums
staffs	staves
stag	stags
stank	stunk
staved	stove
stegosauri	stegosauruses
stembuck	stembucks
stenciled	stencilled
stenciling	stencilling	stencillings
sterna	sternums
sticcadoes	sticcados
stilettoes	stilettos
strappadoes	strappados
strata	stratums
stratovolcanoes	stratovolcanos
strewed	strewn
stricken	struck
stripped	stript
strived	striven	strove
stuccoes	stuccos
styli	stylos	styluses
stylopodia	stylopodiums
subdeliria	subdeliriums
subgenera	subgenuses
subimagines	subimagos
subindexes	subindices
submaxillae	submaxillas
subminima	subminimums
substrata	substratums
subtotaled	subtotalled
subtotaling	subtotalling
sunburned	sunburnt
sundries	sundris
supercargoes	supercargos
superhelices	superhelixes
superheroes	superheros
supernovae	supernovas
superphenomena	superphenomenons
superstrata	superstratums
supervirtuosi	supervirtuosos
surplused	surplussed
surplusing	surplussing
swan	swans
sweat	sweated
swelled	swollen
swingeing	swinging
swiveled	swivelled
swiveling	swivelling
syllabi	syllabuses
symboled	symbolled
symboling	symbolling
symposia	symposiums
syngases	syngasses
tableaus	tableaux
tablespoonfuls	tablespoonsful
tableted	tabletted
tableting	tabletting
talced	talcked
talcing	talcking
tarantulae	tarantulas
tasseled	tasselled
tasseling	tasselling	tassellings
taxies	taxis
taxiing	taxying
teargases	teargasses
teaseled	teaselled
teaseling	teaselling
teaspoonfuls	teaspoonsful
teazeled	teazelled
teazeling	teazelling
teetotaled	teetotalled
teetotaling	teetotalling
telecast	telecasted
tempi	tempos
tenderfeet	tenderfoots
termini	terminuses
terraria	terrariums
tetrahedra	tetrahedrons
thermostated	thermostatted
thermostating	thermostatting
thesauri	thesauruses
thoraces	thoraxes
threepence	threepences
thrived	thriven	throve
thunderstricken	thunderstruck
thymi	thymuses
tibiae	tibias
tieing	tyeing	tying
tingeing	tinging
tinseled	tinselled
tinseling	tinselling
tittuped	tittupped
tittuping	tittupping
tobaccoes	tobaccos
togae	togas
tomatilloes	tomatillos
ton	tons
tornadoes	tornados
torpedoes	torpedos
torsi	torsos
tossed	tost
totaled	totalled
totaling	totalling
toweled	towelled
toweling	towelling	towellings
tracheae	tracheas
tradesfolk	tradesfolks
tradespeople	tradespersons
trammeled	trammelled
trammeling	trammelling
tranquiler	tranquiller
tranquilest	tranquillest
transfixed	transfixt
transited	transitted
transiting	transitting
trapezia	trapeziums
traumas	traumata
traveled	travelled
traveling	travelling	travellings
triceps	tricepses
triceratops	triceratopses
trichinae	trichinas
trod	trodden
trolleybuses	trolleybusses
troubleshooted	troubleshot
trousseaus	trousseaux
troweled	trowelled
troweling	trowelling
trueing	truing
tunneled	tunnelled
tunneling	tunnelling	tunnellings
turfs	turves
tuxedoes	tuxedos
twingeing	twinging
tympana	tympanums
tyroes	tyros
ulnae	ulnas
ultimas	ultimata	ultimatums
ultravacua	ultravacuums
umbilici	umbilicuses
umbrae	umbras
unbegot	unbegotten
unbiased	unbiassed
unblessed	unblest
unborn	unborne
unclad	unclothed
underclad	underclothed
undergirded	undergirt
underworked	underwrought
ungilded	ungilt
ungirded	ungirt
unglueing	ungluing
ungot	ungotten
unkenneled	unkennelled
unkenneling	unkennelling
unladed	unladen
unleveled	unlevelled
unleveling	unlevelling
unpeople	unpersons
unraveled	unravelled
unraveling	unravelling	unravellings
unreeved	unrove
unshod	unshoed
untrod	untrodden
unworked	unwrought
up	upped
upspake	upspoke	upspoken
upsprang	upsprung
urethrae	urethras
uteri	uteruses
uvulae	uvulas
vacua	vacuums
vaginae	vaginas
veges	vegs
vermicelli	vermicellis
verrucae	verrucas
vertebrae	vertebras
vertexes	vertices
vertigines	vertigoes	vertigos
viae	vias
vialed	vialled
vialing	vialling
victualed	victualled
victualing	victualling
viragoes	viragos
virtuosi	virtuosos
vitae	vitas
vitrioled	vitriolled
vitrioling	vitriolling
vivaria	vivariums
vogueing	voguing
volcanoes	volcanos
vortexes	vortices
vulvae	vulvas
wainscoted	wainscotted
wainscoting	wainscotting
waitpeople	waitpersons
waked	woke	woken
waldoes	waldos
warwolf	warwolves
waterbuck	waterbucks
waterbuses	waterbusses
wed	wedded
wendigoes	wendigos
wet	wetted
whackoes	whackos
wharfs	wharves
whingeing	whinging
whipsawed	whipsawn
wildfowl	wildfowls
windburned	windburnt
winded	wound
windigoes	windigos
wingeing	winging
wizes	wizzes
wolf	wolves
wolverine	wolverines
womenfolk	womenfolks
worked	wrought
workfolk	workfolks
worshiped	worshipped
worshiping	worshipping
wrapped	wrapt
wrier	wryer
wriest	wryest
writ	written
yeshivahs	yeshivas	yeshivoth
yobboes	yobbos
yodeled	yodelled
yodeling	yodelling
zeroes	zeros
zinced	zincked
zincing	zincking
zucchini	zucchinis
