matzo:	matzos	matzot	matzoth
mausoleum:	mausolea	mausoleums
maxilla:	maxillae	maxillas
maximum:	maxima	maximums
meane:	meaneing	meaning
medal:	medaled	medalled
medal:	medaling	medalling
medevac:	medevaced	medevacked
medevac:	medevacing	medevacking
medium:	media	mediums
medulla:	medullae	medullas
megabuck:	megabuck	megabucks
megafauna:	megafaunae	megafaunas
megahertz:	megahertz	megahertzes
melanoma:	melanomas	melanomata
melt:	melted	molten
memento:	mementoes	mementos
memorandum:	memoranda	memorandums
menfolk:	menfolk	menfolks
menhaden:	menhaden	menhadens
meniscus:	menisci	meniscuses
mesteso:	mestesoes	mestesos
mestino:	mestinoes	mestinos
mestizo:	mestizoes	mestizos
metal:	metaled	metalled
metal:	metaling	metalling
metalling:	metalling	metallings
metathorax:	metathoraces	metathoraxes
miasma:	miasmas	miasmata
microbus:	microbuses	microbusses
microcosmos:	microcosmos	microcosmoses
microfauna:	microfaunae	microfaunas
microfiche:	microfiche	microfiches
microflora:	microflorae	microfloras
microfungus:	microfungi	microfunguses
micron:	micra	microns
micronucleus:	micronuclei	micronucleuses
midwife:	midwifed	midwived
midwife:	midwifing	midwiving
milieu:	milieus	milieux
military:	militaries	military
millennium:	millennia	millenniums
minibus:	minibuses	minibusses
minimum:	minima	minimums
misbias:	misbiased	misbiassed
misbias:	misbiasing	misbiassing
mischannel:	mischanneled	mischannelled
mischannel:	mischanneling	mischannelling
misdial:	misdialed	misdialled
misdial:	misdialing	misdialling
misfocus:	misfocused	misfocussed
misfocus:	misfocuses	misfocusses
misfocus:	misfocusing	misfocussing
misfuel:	misfueled	misfuelled
misfuel:	misfueling	misfuelling
mislabel:	mislabeled	mislabelled
mislabel:	mislabeling	mislabelling
mislearn:	mislearned	mislearnt
mislight:	mislighted	mislit
misplead:	mispleaded	mispled
misprogram:	misprogramed	misprogrammed
misprogram:	misprograming	misprogramming
misshape:	misshaped	misshapen
misspell:	misspelled	misspelt
misstrike:	misstricken	misstruck
miswrite:	miswrit	miswritten
model:	modeled	modelled
model:	modeling	modelling
modelling:	modelling	modellings
mojo:	mojoes	mojos
momento:	momentoes	momentos
momentum:	momenta	momentums
money:	moneys	monies
mongo:	mongoes	mongos
mongoose:	mongeese	mongooses
monopodium:	monopodia	monopodiums
monsignor:	monsignori	monsignors
moratorium:	moratoria	moratoriums
morsel:	morseled	morselled
morsel:	morseling	morselling
mosquito:	mosquitoes	mosquitos
motorbus:	motorbuses	motorbusses
motto:	mottoes	mottos
mow:	mowed	mown
mowburn:	mowburned	mowburnt
mulatto:	mulattoes	mulattos
multipara:	multiparae	multiparas
mungo:	mungoes	mungos
naiad:	naiades	naiads
narcissus:	narcissi	narcissus	narcissuses
